!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
AI Engineer,Elicit,https://elicit.com/careers?ashby_jid=d27d51d7-b318-4cb0-9b88-c37de18905f3,San Francisco Bay Area.USA,2024-06-28,1/1/2050,1. AI safety & policy,"- In this role, you'll be responsible for building Elicit into a product researchers can’t live without.
- Own backend implementation of our ""living document"" technology, curating, extending, and improving it.
- Ship useful, exciting features to users on a weekly basis, focusing on code between the BFF endpoints and ML models.
- Balance short-term feature shipping with building extensible and maintainable systems that are scalable, resilient, and easy to operate.
- Contribute to discussions around system design, performance evaluation, and architecture.",Undergraduate degree or less,Multiple experience levels,Software engineering,Full-time,Not Found,https://elicit.com/,https://elicit.com/careers,https://80000hours.org/wp-content/uploads/2023/09/Elicit.png,
Expression of Interest,Epoch AI,https://jobs.lever.co/epoch-ai/137cb0dc-03a6-4747-b9dc-8255194daee2,Remote.Global,2024-04-03,1/1/2050,1. AI safety & policy,"- Submit an Expression of Interest to be contacted for future roles at Epoch.
- Research roles: Fields include economics, machine learning, and forecasting.
- Operations roles: Involving people management, finance, event coordination, or generalist tasks.
- Engineering roles: Software development and machine learning engineering.
- Data roles: Data analysts, data scientists.
- Communications roles: Designer, editor.",Undergraduate degree or less,Multiple experience levels,"Research, Operations, Software engineering, Outreach",Full-time,Not Found,https://epoch.ai,https://epoch.ai/about/careers,https://80000hours.org/wp-content/uploads/2024/11/epoch_ai_logo.jpeg,checked
Researcher / Senior Researcher,Epoch AI,https://jobs.lever.co/epoch-ai/de7b4c71-ece2-454a-be70-e7b75c5f3b23,Remote.Global,2026-04-10,1/1/2050,1. AI safety & policy,"* In this role, you'll lead research projects investigating AI capabilities and their societal implications.
* Conduct research on AI datacenters, supply chains, benchmarks, and algorithmic progress.
* Write reports and articles communicating your research findings to policymakers and industry leaders.
* Make estimates and forecasts with limited information while evaluating technical claims credibility.
* Collaborate with researchers and engineers to develop benchmarks and ensure research accuracy.",Undergraduate degree or less,Multiple experience levels,Research,Full-time,"$100,000 - $250,000",https://epoch.ai,https://epoch.ai/about/careers,https://80000hours.org/wp-content/uploads/2024/11/epoch_ai_logo.jpeg,checked
Frontier AI Research Lead,"Georgetown University, Center for Security and Emerging Technology",https://cset.georgetown.edu/job/research-or-senior-fellow-frontier-ai/,"""Washington, DC metro area.USA""",2026-04-08,1/1/2050,1. AI safety & policy,"* In this role, you'll lead a new team focused on Frontier AI research, shaping priorities and overseeing research execution.
* Develop and lead research projects on frontier AI issues independently and collaboratively with colleagues.
* Supervise, mentor, and coach research analysts and student assistants while editing for methodological rigor.
* Deliver presentations and briefs to policymakers on frontier AI issues and produce written publications.",Master's degree,Multiple experience levels,"Research, Management",Full-time,"$100,000 - $190,000",https://cset.georgetown.edu/,https://cset.georgetown.edu/careers/,https://80000hours.org/wp-content/uploads/2019/08/center-for-security-and-emerging-technology.png,checked
Expression of Interest,GovAI,https://airtable.com/app28VlpRpSMzRs2Q/pagi6elN7olrBGaUn/form,Remote.Global,2026-01-29,1/1/2050,1. AI safety & policy,* Express interest in upcoming positions at GovAI.,Undergraduate degree or less,Multiple experience levels,"Research, Operations, Policy",Full-time,Not Found,https://www.governance.ai/,https://www.governance.ai/opportunities,https://80000hours.org/wp-content/uploads/2021/12/centre-for-the-governance-of-ai.jpeg,
General Expression of Interest,Model Evaluation and Threat Research,https://jobs.lever.co/metr/f3a6db11-7fd1-48e4-af42-20aad1ded72d,"Remote.Global,San Francisco Bay Area.USA",2023-01-23,1/1/2050,1. AI safety & policy,"""The evaluations project at the Alignment Research Center is a new team building capability evaluations (and in the future, alignment evaluations) for advanced ML models... We’d like to hear from anyone who would like to work with us in any capacity. We're pretty unsure about our longer-term hiring plans and contractor needs, and we are open to expressions of interest and proposals. Some groups that may want to use this form could be alignment researchers, engineers, communicators, operations specialists, contractors offering a specific service, and those that aren’t quite ready to seek a new position.""",Undergraduate degree or less,Multiple experience levels,"Software engineering, Operations, Research",Full-time,Not Found,https://metr.org/,https://hiring.metr.org/,https://80000hours.org/wp-content/uploads/2023/12/METR.png,checked
"Member of Technical Staff, Research",Model Evaluation and Threat Research,https://jobs.lever.co/metr/93baec4d-1e47-40f7-9990-6d7fef12da00,San Francisco Bay Area.USA,2026-03-16,1/1/2050,1. AI safety & policy,"* In this role, you'll conduct research on AI capabilities, risks and mitigations through benchmarking and alignment assessment.
* Develop and maintain benchmarks and metrics to measure frontier model capabilities on threat-relevant tasks.
* Build research infrastructure and evaluation methods to assess model behaviour under monitoring protocols.
* Create maintainable, scalable systems and lead projects from ideation to delivery.
* Contribute rigorous research science through literature knowledge and problem-solving on open-ended challenges.",Undergraduate degree or less,Mid (5-9 years experience),"Research, Software engineering",Full-time,"$250,000 - $450,000",https://metr.org/,https://hiring.metr.org/,https://80000hours.org/wp-content/uploads/2023/12/METR.png,checked
"Security Engineer, Application Security",OpenAI,https://openai.com/careers/security-engineer-application-security-new-york-city/,"""New York, NY.USA""",2024-10-04,1/1/2050,1. AI safety & policy,"- In this role, you will identify and mitigate security vulnerabilities within software applications through building security tools, code reviews, penetration testing, and security assessments.
- Perform regular security assessments, code reviews, and penetration testing to identify vulnerabilities in applications and software.
- Design, develop, and implement security tools, frameworks, and methodologies to protect applications against security threats.
- Work closely with development teams to ensure secure coding practices are integrated throughout the software development lifecycle.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Information security, Software engineering, Management",Full-time,"$245,000 - $385,000",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,
"Security Engineer, Application Security, Seattle",OpenAI,https://openai.com/careers/security-engineer-application-security-seattle/,Seattle metro area.USA,2025-02-28,1/1/2050,1. AI safety & policy,"- In this role, you will be responsible for identifying and mitigating security vulnerabilities within software applications.
- Perform regular security assessments, code reviews, and penetration testing to identify vulnerabilities in applications and software.
- Design, develop, and implement security tools, frameworks, and methodologies to protect applications against security threats.
- Work closely with development teams to ensure security best practices are integrated throughout the software development lifecycle.",Undergraduate degree or less,Mid (5-9 years experience),"Information security, Software engineering",Full-time,"$245,000 - $385,000",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,
"Security Engineer, Application Security, San Francisco",OpenAI,https://openai.com/careers/security-engineer-application-security-san-francisco/,San Francisco Bay Area.USA,2025-02-28,1/1/2050,1. AI safety & policy,"- In this role, you will be responsible for identifying and mitigating security vulnerabilities within software applications through building security tools, code reviews, penetration testing, and security assessments.
-  Perform regular security assessments, code reviews, and penetration testing to identify vulnerabilities in applications and software.
-  Design, develop, and implement security tools, frameworks, and methodologies to protect applications against security threats.
-  Ensure security best practices are integrated throughout the software development lifecycle.",Undergraduate degree or less,Mid (5-9 years experience),"Information security, Software engineering",Full-time,"$245,000 - $385,000",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,
